states,x,y
Abuja,-90,-17
Abia,-57,-193
Adamawa,175,15
Akwa Ibom,-55,-228
Anambra,-117,-162
Bauchi,64,77
Bayelsa,-160,-250
Benue,6,-90
Borno,253,171
Cross River,-11,-171
Delta,-148,-190
Ebonyi,-48,-151
Edo,-152,-135
Ekiti,-185,-80
Enugu,-81,-141
Gombe,121,72
Imo,-89,-195
Jigawa,46,181
Kaduna,-62,62
Kano,-9,149
Katsina,-65,200
Kebbi,-264,135
Kogi,-102,-85
Kwara,-212,-19
Lagos,-293,-148
Nasarawa,-45,-30
Niger,-159,39
Ogun,-307,-114
Ondo,-207,-118
Osun,-226,-88
Oyo,-273,-49
Plateau,49,3
Rivers,-106,-240
Sokoto,-183,220
Taraba,110,-69
Yobe,139,170
Zamfara,-128,179
